nid,nid,Sequence,Judge Name,School,Degree,Degree Year,Court Name,In District,T14 Law School
1394646,1394646,2,"Abrams, Leslie Joyce",Yale Law School,J.D.,2002,U.S. District Court for the Middle District of Georgia,0,True
1393931,1393931,2,"Abrams, Ronnie",Yale Law School,J.D.,1993,U.S. District Court for the Southern District of New York,0,True
1393701,1393701,2,"Allen, Arenda Lauretta Wright",North Carolina Central University School of Law,J.D.,1985,U.S. District Court for the Eastern District of Virginia,0,False
1394711,1394711,2,"Alonso, Jorge Luis",George Washington University Law School,J.D.,1991,U.S. District Court for the Northern District of Illinois,0,False
1393846,1393846,2,"Andrews, Richard Gibson","University of California, Berkeley, Boalt Hall School of Law",J.D.,1981,U.S. District Court for the District of Delaware,0,True
1394671,1394671,3,"Arleo, Madeline Cox",Seton Hall University School of Law,J.D.,1989,U.S. District Court for the District of New Jersey,1,False
1394716,1394716,2,"Azrack, Joan Marie",New York Law School,J.D.,1979,U.S. District Court for the Eastern District of New York,1,False
1394126,1394126,2,"Bacharach, Robert Edwin",Washington University School of Law,J.D.,1985,U.S. Court of Appeals for the Tenth Circuit,0,False
1393971,1393971,2,"Baker, Kristine Gerhard",University of Arkansas School of Law,J.D.,1996,U.S. District Court for the Eastern District of Arkansas,1,False
1394221,1394221,2,"Barnett, Mark Allen",University of Michigan Law School,J.D.,1988,U.S. Court of International Trade,0,True
1394531,1394531,2,"Barron, David Jeremiah",Harvard Law School,J.D.,1994,U.S. Court of Appeals for the First Circuit,1,True
1394451,1394451,2,"Bashant, Cynthia Ann","University of California, Hastings College of the Law",J.D.,1986,U.S. District Court for the Southern District of California,1,False
1394456,1394456,2,"Bastian, Stanley Allen",University of Washington School of Law,J.D.,1983,U.S. District Court for the Eastern District of Washington,1,False
1393636,1393636,2,"Battaglia, Anthony Joseph",California Western School of Law,J.D.,1974,U.S. District Court for the Southern District of California,1,False
1394676,1394676,2,"Beetlestone, Wendy",University of Pennsylvania Law School,J.D.,1993,U.S. District Court for the Eastern District of Pennsylvania,1,True
1393891,1393891,3,"Bencivengo, Cathy Ann",University of Michigan Law School,J.D.,1988,U.S. District Court for the Southern District of California,0,True
1394771,1394771,2,"Bennett, Alfred Homer",University of Texas School of Law,J.D.,1991,U.S. District Court for the Southern District of Texas,1,True
1394071,1394071,2,"Berg, Terrence George",Georgetown University Law Center,J.D.,1986,U.S. District Court for the Eastern District of Michigan,0,True
1392951,1392951,2,"Berger, Irene Cornelia",West Virginia University College of Law,J.D.,1979,U.S. District Court for the Southern District of West Virginia,1,False
1394081,1394081,2,"Bernal, Jesus Gilberto",Stanford Law School,J.D.,1989,U.S. District Court for the Central District of California,1,True
1394721,1394721,2,"Biggs, Loretta Copeland",Howard University School of Law,J.D.,1979,U.S. District Court for the Middle District of North Carolina,0,False
1394611,1394611,2,"Birotte, Andre, Jr.",Pepperdine University School of Law,J.D.,1991,U.S. District Court for the Central District of California,1,False
1393816,1393816,2,"Bissoon, Cathy",Harvard Law School,J.D.,1993,U.S. District Court for the Western District of Pennsylvania,0,True
1393131,1393131,2,"Black, Timothy Seymour","Northern Kentucky University, Salmon P. Chase College of Law",J.D.,1983,U.S. District Court for the Southern District of Ohio,0,False
1394726,1394726,3,"Blakey, John Robert",Notre Dame Law School,J.D.,1992,U.S. District Court for the Northern District of Illinois,0,False
1394591,1394591,3,"Bloom, Beth Francine",University of Miami School of Law,J.D.,1988,U.S. District Court for the Southern District of Florida,1,False
1393651,1393651,3,"Boasberg, James Emanuel",Yale Law School,J.D.,1990,U.S. District Court for the District of Columbia,0,True
1394681,1394681,2,"Bolden, Victor Allen",Harvard Law School,J.D.,1989,U.S. District Court for the District of Connecticut,0,True
1394731,1394731,2,"Bough, Stephen Rogers",University of Missouri-Kansas City School of Law,J.D.,1997,U.S. District Court for the Western District of Missouri,1,False
1394561,1394561,2,"Boulware, Richard Franklin II",Columbia Law School,J.D.,2002,U.S. District Court for the District of Nevada,0,True
1394106,1394106,2,"Brann, Matthew William",Dickinson School of Law,J.D.,1990,U.S. District Court for the Middle District of Pennsylvania,1,False
