nid,nid,Sequence,Judge Name,School,Degree,Degree Year,Court Name,In District,T14 Law School
5198506,5198506,2,"Albright, Alan D",University of Texas School of Law,J.D.,1984,U.S. District Court for the Western District of Texas,1,1
6244926,6244926,2,"Altman, Roy Kalman",Yale Law School,J.D.,2007,U.S. District Court for the Southern District of Florida,0,1
5153446,5153446,2,"Ashe, Barry Weldon",Tulane University Law School,J.D.,1984,U.S. District Court for the Eastern District of Louisiana,1,0
4738061,4738061,2,"Axon, Annemarie Carney",University of Alabama School of Law,J.D.,1999,U.S. District Court for the Northern District of Alabama,1,0
6202901,6202901,2,"Bade, Bridget Shelton",Arizona State University College of Law,J.D.,1990,U.S. Court of Appeals for the Ninth Circuit,1,0
5152936,5152936,2,"Baker, R. Stan",University of Georgia School of Law,J.D.,2004,U.S. District Court for the Southern District of Georgia,1,0
3979311,3979311,2,"Barrett, Amy Coney",Notre Dame Law School,J.D.,1997,U.S. Court of Appeals for the Seventh Circuit,1,0
5153456,5153456,3,"Baxter, Susan Paradise",Temple University School of Law,J.D.,1983,U.S. District Court for the Western District of Pennsylvania,1,0
5018781,5018781,2,"Beaverstock, Jeffrey Uhlman",University of Alabama School of Law,J.D.,1998,U.S. District Court for the Southern District of Alabama,1,0
4908101,4908101,2,"Bennett, Mark Jeremy",Cornell Law School,J.D.,1979,U.S. Court of Appeals for the Ninth Circuit,0,1
3989731,3989731,3,"Bibas, Stephanos",Yale Law School,J.D.,1994,U.S. Court of Appeals for the Third Circuit,0,1
4444651,4444651,2,"Boom, Claria Horn",Vanderbilt University Law School,J.D.,1994,U.S. District Court for the Eastern District of Kentucky,0,0
4237586,4237586,2,"Branch, Elizabeth Lee",Emory University School of Law,J.D.,1994,U.S. Court of Appeals for the Eleventh Circuit,1,0
5153461,5153461,3,"Brasel, Nancy Ellen",University of Minnesota Law School,J.D.,1996,U.S. District Court for the District of Minnesota,1,0
4602991,4602991,2,"Brennan, Michael Brian",Northwestern University School of Law,J.D.,1989,U.S. Court of Appeals for the Seventh Circuit,1,0
5375096,5375096,3,"Brnovich, Susan Marie",University of Wisconsin Law School,J.D.,1994,U.S. District Court for the District of Arizona,0,0
4477666,4477666,2,"Broomes, John Wesley",Washburn University School of Law,J.D.,2002,U.S. District Court for the District of Kansas,1,0
4028216,4028216,2,"Brown, Michael Lawrence",University of Georgia School of Law,J.D.,1994,U.S. District Court for the Northern District of Georgia,1,0
5373561,5373561,2,"Burke, Liles Clifton",University of Alabama School of Law,J.D.,1994,U.S. District Court for the Northern District of Alabama,1,0
3114866,3114866,2,"Bush, John Kenneth",Harvard Law School,J.D.,1989,U.S. Court of Appeals for the Sixth Circuit,0,1
4027846,4027846,2,"Campbell, William Lynn, Jr.",University of Alabama School of Law,J.D.,2001,U.S. District Court for the Middle District of Tennessee,0,0
4625001,4625001,2,"Carson, Joel McElroy III",University of New Mexico School of Law,J.D.,1997,U.S. Court of Appeals for the Tenth Circuit,1,0
4020796,4020796,2,"Coggins, Donald Cecil, Jr.",University of South Carolina School of Law,J.D.,1984,U.S. District Court for the District of South Carolina,1,0
5018791,5018791,3,"Connolly, Colm Felix",Duke University School of Law,J.D.,1991,U.S. District Court for the District of Delaware,0,1
4028221,4028221,2,"Counts, Walter David III","St. Mary`s University School of Law, Texas",J.D.,1986,U.S. District Court for the Western District of Texas,1,0
5197981,5197981,2,"Dooley, Kari Anne",University of Connecticut School of Law,J.D.,1988,U.S. District Court for the District of Connecticut,1,0
4273111,4273111,2,"Doughty, Terry Alvin",Louisiana State University Law School,J.D.,1984,U.S. District Court for the Western District of Louisiana,1,0
4517676,4517676,2,"Duncan, Stuart Kyle",Louisiana State University Law School,J.D.,1997,U.S. Court of Appeals for the Fifth Circuit,1,0
3989726,3989726,2,"Eid, Allison Hartwell",University of Chicago Law School,J.D.,1991,U.S. Court of Appeals for the Tenth Circuit,0,1
4022586,4022586,3,"Friedrich, Dabney Langhorne",Yale Law School,J.D.,1992,U.S. District Court for the District of Columbia,0,1
5153441,5153441,3,"Goodwin, Charles Barnes",University of Oklahoma College of Law,J.D.,1997,U.S. District Court for the Western District of Oklahoma,1,0
5014276,5014276,2,"Grant, Britt Cagle",Stanford Law School,J.D.,2007,U.S. Court of Appeals for the Eleventh Circuit,0,1
4025236,4025236,2,"Grasz, Leonard Steven",University of Nebraska College of Law,J.D.,1989,U.S. Court of Appeals for the Eighth Circuit,1,0
5375106,5375106,2,"Hanlon, James Patrick",Valparaiso University Law School,J.D.,1996,U.S. District Court for the Southern District of Indiana,1,0
4025386,4025386,2,"Ho, James C.",University of Chicago Law School,J.D.,1999,U.S. Court of Appeals for the Fifth Circuit,0,1
5197971,5197971,2,"Horan, Marilyn Jean",University of Pittsburgh School of Law,J.D.,1979,U.S. District Court for the Western District of Pennsylvania,1,0
4477671,4477671,2,"Jennings, Rebecca Grady","American University, Washington College of Law",J.D.,2002,U.S. District Court for the Western District of Kentucky,0,0
5373566,5373566,2,"Juneau, Michael Joseph",Harvard Law School,J.D.,1987,U.S. District Court for the Western District of Louisiana,0,1
5197976,5197976,2,"Jung, William Frederic",University of Illinois College of Law,J.D.,1983,U.S. District Court for the Middle District of Florida,0,0
4022736,4022736,2,"Katsas, Gregory George",Harvard Law School,J.D.,1989,U.S. Court of Appeals for the District of Columbia Circuit,0,1
3687506,3687506,2,"Kelly, Timothy James",Georgetown University Law Center,J.D.,1997,U.S. District Court for the District of Columbia,1,1
5375101,5375101,2,"Kenney, Chad Francis, Sr.",Temple University School of Law,J.D.,1980,U.S. District Court for the Eastern District of Pennsylvania,1,0
5374586,5374586,3,"Kernodle, Jeremy Daniel",Vanderbilt University Law School,J.D.,2001,U.S. District Court for the Eastern District of Texas,0,0
5374581,5374581,2,"Kleeh, Thomas Shawn",West Virginia University College of Law,J.D.,1999,U.S. District Court for the Northern District of West Virginia,1,0
